メニュー名,分量,カロリー,塩分,調理時間,画像URL,材料,作り方,URL
えびのチリソース(スピードメニュー),2人分,約135kcal,2.0g,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0904.jpg,"えび: 200g
しめじ: 50g
白ねぎ: 4cm
ケチャップ: 大さじ3
しょうゆ: 小さじ2
酒、片栗粉: 各小さじ1
ごま油: 小さじ1/2
豆板醤: 適量","1 水タンクに水を入れる。(水位2)
2 えびは殻をむき、背の方に切り込こみを入れて背ワタを取り、洗って水気をふく。しめじを小房に分ける。白ねぎはみじん切りにする。
3 2を底の平らな耐熱容器に入れ、[A]を加えて混ぜる。
4 3を角皿の中央に置き、上段に入れる。
手動調理 → 蒸し物 → 約10分 → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0904
えびの豆鼓蒸し,4人分,約85kcal,1.3g,13分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1366.jpg,"えび: 特大4尾
絹ごし豆腐: 1/2丁
豆鼓醤: 小さじ2
長ねぎ(みじん切り): 大さじ2
しょうが(みじん切り): 大さじ1/2
しょうゆ: 大さじ1と1/2
酒: 大さじ1
ごま油: 大さじ1/2
コリアンダー: 適量","1 水タンクに水を入れる。(水位2)
2 えびは背わたを取り、縦に半分に切る。
3 豆腐は重石をして軽く水切りをして4枚に切り、皿に並べる。
4 合わせた[A]に2と3を加え、全体にからめ金属製バットの上に並べる。(残った[A]は上からかける。)
5 角皿に調理網2枚をのせ、その上に4をのせ、上段に入れる。
まかせて調理 蒸す・ゆでる → スタート
※加熱後、角皿を取り出す際、金属製バットがすべりやすいので注意してください。
6 コリアンダーを散らして飾る。
レシピ提供：ボブとアンジー　監修：料理研究家　石川　定子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1366
えびのピーナッツフライ,4人分,約470kcal,1.5g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1379.jpg,"えび(有頭): 8尾
塩: 少々
こしょう: 少々
白ワイン: 大さじ1
薄力粉: 適量
溶き卵: 適量
ピーナッツダイス: 35g
ソーダクラッカー: 5枚
マヨネーズ: 大さじ4
トマトケチャップ: 大さじ2
レモン汁: 大さじ1
塩: 少々
こしょう: 少々
ゆで卵(みじん切り): 1/2個分
ピクルス(みじん切り): 大さじ1
玉ねぎ(みじん切り): 大さじ1
ラディッシュ: 8個
サラダ菜: 8枚","1 水タンクに水を入れる。(水位1以上)
2 えびは背わたを取り、尾、頭を残して殻をむき、尾の先は切っておく。
3 腹側に2～3か所切り目を入れ、塩、こしょう、白ワインをふって、下味を付ける。
4 水気をふいて薄力粉、溶き卵を付け、ピーナッツダイスとくだいたソーダクラッカーを合わせた衣を付ける。
5 角皿に調理網2枚をのせ、その上にクッキングシートをのせ、中央に4のえびを並べる。角皿を上段に入れる。
まかせて調理 網焼き・揚げる → スタート → 弱め(※30秒以内に押す。)
6 [A]のマヨネーズ、トマトケチャップ、レモン汁、塩、こしょうを合わせてよく混ぜ、ゆで卵、ピクルス、玉ねぎを加えて、ソースを作る。
7 器に5を盛り、サラダ菜と花切りのラディッシュを付け合わせて、ソースを添える。
レシピ提供：ボブとアンジー　監修：料理家　菊池　令子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1379
えびのベーコン巻き,2人分,約221kcal,1.2g,8分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0757.jpg,"えび: 8尾
塩、こしょう: 各少々
白ワイン: 小さじ1
にんにく(みじん切り): 1/2かけ
ベーコン: 4枚
レモン汁: 適量","1 水タンクに水を入れる。(水位1以上)
2 えびは尾を残して殻をむき、背ワタを取る。塩、こしょうをふり、白ワイン、にんにくと混ぜ合わせる。
3 ベーコンは半分に切り、えびを巻いてつまようじでとめる。
4 調理網2枚を2段に重ねて角皿の中央にのせ、3を中央に並べ、上段に入れる。
お料理選択 → ヘルシオおすすめ → 8～10分　100メニュー → サッと8分 → 焼き → スタート
5 加熱後、レモン汁をかける。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0757
えびのみそ風味グラタン,4人分,約163kcal,1.4g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1523.jpg,"えび(有頭): 8尾
バター: 10g
ブランデー: 大さじ2
里いも: 小5個(100g)
れんこん: 100g
薄力粉: 大さじ2と1/2
牛乳: 150mL
ブイヨン: 200mL
合わせみそ: 20g
塩: 少々
こしょう: 少々
木の芽: 4枚","1 水タンクに水を入れる。(水位1以上)
2 えびは縦塩(3%の食塩水(塩15g＋水500mL)で良く洗い、その後真水)で洗い、背わたを取ってバターを熱したフライパンで炒め、ブランデーを加えてアルコール分をとばし、頭、尾、殻を取り、身は1cm角に切る。(頭、尾は残しておく。)
3 里いもは1cm程度の厚みの半月切りにし、ゆでておく。
4 れんこんは里いもと同じくらいの大きさに切り、2のフライパンで炒める。
5 4の鍋に薄力粉をふり入れてさらに炒め、牛乳を少しずつ加えて溶きのばし、ブイヨンも加えて、合わせみそを溶き入れる。
6 とろみがつけば、里いもとえびの切り身を加え、塩、こしょうで調味して軽く合わせる。
※えびは加熱し過ぎると固くなりますので、加熱し過ぎないように注意しましょう。また、海老の頭、殻を絞ると海老のエキスが抽出でき、このエキスをソースに加えるとより美味しく仕上げることができます。
7 耐熱容器に里芋と海老が入ったソースを分け入れ、頭、尾も飾る。
8 角皿に耐熱容器を並べ、上段に入れる。
まかせて調理 焼く → スタート
9 焼き上がれば、木の芽をのせる。
レシピ提供：ボブとアンジー　監修：料理家　橋村　一未",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1523
えび春巻き,2人分,約185kcal,0.5g,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0687.jpg,"えび: 8尾
青じそ: 8枚
春巻きの皮: 2枚
マヨネーズ: 適量","1 水タンクに水を入れる。(水位1以上)
2 角皿の中央に調理網1枚をのせる。
3 青じそは洗って水気をふく。
4 えびは尾を残して殻をむき、背ワタを取る。曲がらないように腹側に少し切り目を入れてしっかりのばし、水気をよくふき取る。
5 春巻きの皮をそれぞれ4つに切り、青じそ、えびをのせて上にマヨネーズを絞り出し、しっかりと巻く。
6 巻き終わりを下にして調理網の中央に並べ、上段に入れる。

お料理選択 → ヘルシオおすすめ → 8～10分　100メニュー → パパッと10分 → 焼き → スタート
手動でするときは：角皿に調理網1枚をのせ、下段に入れ、ウォーターグリル・予熱なしで13～15分※自動加熱とは棚位置が異なります。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0687
えびフライ,4人分,約142kcal,0.5g,12分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0077.jpg,"パン粉: 60g
サラダ油: 大さじ3
えび: 大8尾(1尾30g)
塩、こしょう、酒: 各少々
薄力粉、溶き卵: 各適量","■こんがりパン粉を作る
《フライパンで作る場合》
こんがりパン粉の材料をフライパンに入れ、よく混ぜ合わせて火にかけ、混ぜながら全体をきつね色にする。このときの色がほぼ焼き上がりの色になります。
《レンジ加熱で作る場合》
1 耐熱容器(直径15cm位の耐熱ガラス製または陶器製)にこんがりパン粉の材料を入れてよく混ぜ合わせ、ラップをせずに庫内中央に置く。(角皿は入れません)
レンジ → 600W・約1分 → スタート
2 加熱後、混ぜてから「延長」を押して約30秒に合わせ、スタートを押す。全体にきつね色になるまで「延長」を押して約30秒加熱し、混ぜることを5～6回くり返す。
ポイント…加熱しすぎると急に黒くなるので、そばから離れずに様子を見ながら仕上げます。

■フライを作る
1 えびの殻と背ワタを取り、曲がらないように腹側に3～4か所切れ目を入れてしっかりのばす。塩、こしょうをして酒をまぶす。
2 1に薄力粉、溶き卵、こんがりパン粉の順に衣をつける。角皿の中央に調理網1枚をのせ、えびを並べる。
3 2を下段に入れる。
手動調理 → グリル → 予熱なし → 約12~14分(2人分は11~13分) → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0077
エリンギのベーコン巻き,1人分,約88kcal,0.5g,11分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0155.jpg,"エリンギ: 1/2本
ベーコン: 1～2枚
塩、こしょう: 各少々","1 水タンクに水を入れる。(水位1以上)
2 エリンギは縦半分に切る。ベーコンは半分の長さに切り、エリンギに塩、こしょうする。
3 エリンギの軸にベーコンを巻き、つまようじで巻き終わりをとめる。
4 3を角皿にのせ、下段に入れる。
お料理選択 → ヘルシオおすすめ → セットメニュー → モーニングセット・お弁当用おかず → お弁当用おかず(組み合わせ自在) → スタート → 弱め(※30秒以内に押す)
その他のお弁当用おかずと一緒に加熱できます
《お弁当用おかず(組み合わせ自在)》",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0155
えんどうととり肉のピリ辛炒め,4人分,約308kcal,1.5g,26分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0505.jpg,"えんどう(さや付き): 約300g(正味150g)
鶏もも肉: 250g
酒: 大さじ3
水: 大さじ2
しょうゆ、ごま油: 各大さじ1
豆板醤: 小さじ1
塩: 小さじ1/3
しょうが(みじん切り): 適量
片栗粉: 大さじ1","1 水タンクに水を入れる。(水位1以上)
2 えんどうはさやから出しておく。鶏肉は1cm角に切る。
3 底の平らな耐熱容器に2と[A]を加えて混ぜ合わせ、最後に片栗粉を加えて材料全体にまぶしつける。
4 角皿に3をのせ、下段に入れる。
手動調理 → ウォーターオーブン → 予熱なし・1段 → 決定 → 190℃・約26分 → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0505
えんどう豆(ゆで),,,,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2137.jpg,えんどう豆: 200g(正味100g),"1 水タンクに水を入れる。(水位2)
2 さやから出して金属製のザルに入れる。塩少量をふってもみ込み、約10分おく。
3 2を調理網にのせ、上段に入れる。
お料理選択 → メニュー検索 → カテゴリーから探す → 蒸し物・低温調理 → 蒸し青野菜 → スタート → 強め(※30秒以内に押す)
手動でするときは：蒸し物で約10分
※写真の付属品は、実際のものとは異なります。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2137
えんどう豆入り五目焼きそば,4人分,約614kcal,4.5g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1384.jpg,"中華生めん: 4玉
豚肉(薄切り): 100g
芝えび: 100g
いか: 60g
鶏レバー: 60g
酒: 小さじ2
薄口しょうゆ: 小さじ2
しょうが汁: 小さじ1
えんどう豆: 80g
きくらげ: 少々
たけのこ(ゆで): 60g
にんじん: 60g
白菜: 4枚
長ねぎ: 5cm
しょうが: 1片
鶏がらスープ: 400mL
酒: 大さじ1
しょうゆ: 大さじ1と1/2
砂糖: 小さじ1
塩: 小さじ1
こしょう: 少々
水溶き片栗粉: 適量
サラダ油: 適量","1 水タンクに水を入れる。(水位1以上)
2 角皿にクッキングシートを敷き、中華めんを並べる。角皿を上段に入れる。
まかせて調理 炒める → スタート → 弱め(※30秒以内に押す。)
3 豚肉は1cm幅に切り、芝えびは殻、背わたを取ってそぎ切りにし、いか、レバーは花切りにして、酒、薄口しょうゆ、しょうが汁で下味を付け、油通しします。
4 たけのこ、にんじんは4～5cmの長さの短冊切り、白菜はひと口大のそぎ切り、きくらげは戻します。
5 えんどう豆、にんじん、白菜は、サッとゆでます。
6 サラダ油を熱し、みじん切りの長ネギ、しょうがを炒め、5、たけのこ、きくらげを加えて炒めます。
7 3も加え、[A]を加えてひと煮立ちさせ、水溶き片栗粉でとろみを付けます。
8 器に2を盛り、7をかけます。
レシピ提供：ボブとアンジー　監修：料理家　菊池　令子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1384
えんどう豆のみそ風味グラタン,4人分,約377kcal,3.3g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1385.jpg,"えんどう豆: 200g
えび: 16尾
たけのこ(ゆで): 100g
マッシュルーム: 16個
塩わかめ: 50g
バター: 15g
塩: 少々
こしょう: 少々
木の芽: 適量
薄力粉: 大さじ4
バター: 大さじ4
水またはだし汁: 100mL
牛乳: 500mL
白みそ: 40g
塩: 少々
こしょう: 少々","1 水タンクに水を入れる。(水位1以上)
2 えんどう豆は、かたゆでにする。
3 えびは殻、背わたを取り、半分のそぎ切りにする。
4 たけのこは短冊切りにする。
5 マッシュルームは4つ割りにする。
6 塩わかめは湯通しし、ひと口大に切る。
7 バターを熱し、3～6の順に加えて炒め、2も加えて、塩、こしょうをする。
8 みそ風味ソースを作る。厚手鍋にバターを熱し、薄力粉を色付かないように炒めて、牛乳を少しずつ加えながらのばしていき、水で溶いた白みそを加えて仕上げる。塩、こしょうで味をととのえる。
9 7に8の半量を合わせ、バター(分量外)を薄くぬった耐熱容器に分け入れて、残りの8をかける。
10 角皿に9を載せる。角皿を上段に入れる。
まかせて調理 焼く → スタート
11 木の芽を飾る。
レシピ提供：ボブとアンジー　監修：料理家　菊池　令子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1385
