メニュー名,メニュー番号,分量,カロリー,調理時間,画像URL,材料,作り方,URL
アルゴビマサラ(もっとクック専用),,材料：4人分,約118kcal,35分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R100000000040.jpg,"じゃがいも(ひと口大に切る): 150g
カリフラワー(小房に分ける): 120g
さやいんげん(2cm程度に切る): 30g
トマト(ざく切り): 80g
玉ねぎ(ざく切り): 60g
おろしにんにく: 4g
おろししょうが: 4g
塩: 3g
コリアンダーパウダー: 1g
クミンパウダー: 1g
ターメリックパウダー: 1g
カイエンペッパー: ひとつまみ(0.3g)
サラダ油: 30g","1 もっとクック(別売まぜ技ユニット)を本体にセットする。
2 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → カテゴリーで探す → オプションメニュー → 別売アクセサリー → 別売アクセサリーメニュー → アルゴビマサラ(もっとクック専用) → 調理を開始する → スタート

★このレシピは、稲田俊輔氏考案レシピです。
稲田俊輔氏：南インド料理専門店エリックサウス総料理長
ｉｎａｄａ’ｓコメント
材料をすべて入れて加熱するだけで、スパイスがまんべんなく行き渡り香り高く仕上がります。
どんなカレーとも組み合わせられるサイドディッシュとして重宝しますが、野菜だけとは思えないしっかりとしてコクのあるカレーですので、多めに作ってこちらをメインにしてもよいでしょう。
カリフラワーをキャベツやなす、ブロッコリーなどに変えてもおいしくなります。
インドではこういう料理を「サブジ」と言い、様々なバリエーションがあります。
カレーの日のもう一品として気軽に作れるメニューです。



もっとクックの紹介やご購入について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R100000000040
アレンジ自在！ホットクックで濃厚チゲ鍋(ヘルシオデリ),,材料：3人分,約284kcal,55分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000155.jpg,"具材（豚バラ肉・白菜・ぶなじめじ・ニラ）: 1パック
たれ（キムチ入り）: 1パック
水: 100mL
卵: 2個
餃子・トッポギ・豆腐・春雨: お好みで","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※まぜ技ユニットは不要です。
※卵は加熱中、冷蔵庫に入れておきます。
1 内鍋に具材、たれ、水100mLを入れ、本体にセットする。※豚肉は重ならないようにバラバラに入れる。
手動で作る → 煮物を作る(まぜない） → 20分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
2 加熱後、やけどに気をつけながらふたを開け、内鍋に卵を2個加え、5分延長加熱する。
3 延長加熱後、お好みの卵の固さになるまで保温する。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000155
いか(ゆで),0085,,,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4085.jpg,いか: 1～4杯(1杯200～250g),"1 内蔵を抜いて水洗いし、目玉、くちばしを取り除く。
2 1を内鍋に入れる。
メニューを選ぶ → メニュー番号で探す → No.0085(いか) → 調理を開始する → スタート
3 加熱後、余熱で加熱が進みやすいので、すぐに取り出す。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4085
いかと青菜の四川風,0210,材料：4人分,約105kcal,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4210.jpg,"青菜(タァーツァイまたはチンゲン菜): 300ｇ
ロールいか: 500g
しょうゆ: 小さじ1
砂糖: 小さじ1
中華だし(顆粒): 小さじ1
酒、片栗粉: 各大さじ1/2
豆板醤: 小さじ１
土しょうが(みじん切り): 適量
ごま油: 適量","1 まぜ技ユニットを本体にセットする。
2 青菜は３cm長さに切る。ロールいかは５mm幅の斜め格子状に切り目を入れてひと口大に切る。
3 内鍋にごま油以外の全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0210(いかと青菜の四川風) → 調理を開始する → スタート
4 加熱後、ごま油を加える。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4210
イカと里芋の煮もの(ヘルシオデリ),,材料：3人分,約220kcal,50分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000094.jpg,"イカ・里芋: 1パック
たれ: 1パック
水: 200mL","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※まぜ技ユニットは不要です。
1 内鍋に全材料と水200ｍLを入れて、本体にセットする。（イカと里芋ができるだけ重ならないようにして、平らに並べる。）
手動で作る → 煮物を作る(まぜない） → 20分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
2 加熱後、やけどに気をつけながらふたを開け、煮汁につかっていない具材の上下を返して、延長で20分加熱する。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000094
いかとトマトのイタリアンサラダ,0363,材料：4人分,約221kcal,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4363.jpg,"いか: 2杯(400～500g)
玉ねぎ(薄切り): 1/2個(100g)
トマト(乱切り): 2個
バジル: 適量
にんにく(すりおろす): 1かけ
酢: 大さじ3
オリーブオイル: 大さじ3
塩: 小さじ1/3
ブラックペッパー: 適量","1 いかは内臓を抜いて水洗いして、目玉、くちばしは取り除き、皮をむく。玉ねぎは水にさらした後、キッチンペーパーでしっかり水気をふき取る。
2 [A]は乳化するまでよく混ぜ合わせておく。
3 1のいかを内鍋に入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0363(いかとトマトのイタリアンサラダ) → 調理を開始する → スタート
4 加熱後、水気をきり、いかの胴、えんぺらを1cm幅に、足は1本ずつに切る。
5 4をあたたかいうちに2とあえ、1の玉ねぎとトマト、バジルを加えて軽く混ぜ合わせる。
※写真はブラックオリーブを一緒に和えたものです。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4363
いかのトマト煮,0537,材料：2人分,約254kcal,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4537.jpg,"するめいか※: 1杯(300g)
トマト(1cm角に切る): 1個(150g)
玉ねぎ(薄切り): 1/4個(50g)
にんにく(みじん切り): 1/2かけ
オリーブオイル: 大さじ2
酒: 大さじ1
砂糖: 小さじ1
塩: 小さじ2/3","1 まぜ技ユニットを本体にセットする。
2 いかは内臓を抜いて水洗いし、胴は1～2cm幅に切り、足は2～3本ずつに切り分け、長いものは半分に切る。
3 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0537(いかのトマト煮) → 調理を開始する → スタート
※加熱後の汁気は、リゾットなどに活用するとよいでしょう。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4537
いかめし,0020,,約227kcal,55分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4020.jpg,"もち米: 50g
酒: 小さじ1/3
しょうゆ: 小さじ1/3
いか: 2杯(500g)
酒: 大さじ4
みりん: 大さじ3
しょうゆ: 大さじ1
砂糖: 大さじ1
だし汁: 300mL","1 もち米を洗い、1時間水につけておく。
2 いかは、内臓を抜いて水洗いする。足は、2本ずつに切り分ける。
3 1の水気をきり、[A]を混ぜて下味をつけ、2のいかの胴の1/3程度まで詰めて、端をつまようじで止める。
※もち米は、1/3以上詰めないでください。
4 内鍋に3と2の足、[B]を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0020(いかめし) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4020
イタリアンセット,0263,材料：2人分,約431kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4263.jpg,"じゃがいも(厚さ5mmのいちょう切り): 200ｇ
にんじん(厚さ5mmのいちょう切り): 40ｇ
卵(アルミケースに入れる): 2個
塩、こしょう: 各少々
マヨネーズ: 大さじ2
白身魚(たい、たらなど): 2切れ(200g)
塩、こしょう: 各適量
オリーブオイル: 大さじ1
あさり(砂出ししたもの): 100ｇ
プチトマト(へたを取る): 10個
にんにく(みじん切り): 1かけ
白ワイン: 大さじ4","1 内鍋に塩、こしょうをした白身魚を入れ、残りのアクアパッツァの材料を加えて、本体にセットする。
2 蒸しトレイにポテトサラダの材料を入れ、まぜ技ユニットがセットされていないことを確認し、1にセットする。

メニューを選ぶ → メニュー番号で探す → No.0263(イタリアンセット) → 調理を開始する → スタート
3 加熱後、卵は必ず流水につけて充分冷めてから殻をむき、粗く刻む。じゃがいも、にんじん、卵を、[A]であえる。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4263
1日の1/2分の野菜が摂れる　国産白菜と鶏肉の和風鍋(ヘルシオデリ),,材料：2人分,約242kcal,2分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000167.jpg,"つみれ・鶏肉: 1パック
春雨: 1パック
国産カット白菜: 1パック
ぶなしめじ: 1パック
鍋つゆ: 1パック","★右上の機種切替ボタンでお持ちの機種に切り替えてから、作り方のご確認をお願いします。
※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※まぜ技ユニットは不要です。
※鍋つゆを内鍋に入るやわらかさになるまで解凍する（水をはったボウルに5分）全解凍の必要はありません。
1 内鍋につみれ・鶏肉、春雨、白菜、しめじの順に入れ、鍋つゆを割り入れ、本体にセットする。
手動で作る → 煮物を作る(まぜない） → 10分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000167
1日の1/2分の野菜が摂れるチンジャオロース(ヘルシオデリ),,材料：2人分,約256kcal,2分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000154.jpg,"豚肉（たれ入り）: 1パック
ピーマン・たけのこ: 1パック","★右上の機種切替ボタンでお持ちの機種に切り替えてから、作り方のご確認をお願いします。
※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※ピーマン・たけのこは加熱中、冷凍庫で保管します。
1 まぜ技ユニットを本体にセットする。
2 内鍋に豚肉（たれ入り）を入れ、本体にセットする。
手動で作る → 炒める → 3分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
3 加熱後、やけどに気をつけながらふたを開け、ピーマン・たけのこを冷凍のまま入れ、延長で12分加熱する。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000154
